,,date,stake,price,profit,p_bet,bet_side
"near close, 5% margin|25.0",8654,2026-04-25,1.739773339919385,1.6419876685129304,-1.739773339919385,0.6226223742170968,a
"near close, 5% margin|25.0",8660,2026-05-02,4.714949930931562,2.480812064725416,-4.714949930931562,0.45938147070892016,a
"near close, 5% margin|25.0",8663,2026-05-02,3.2792136048651597,1.7764669738863266,2.5462010644965227,0.5915809506949931,a
"near close, 5% margin|25.0",8672,2026-05-02,2.6075761609999017,1.9116801628242064,-2.6075761609999017,0.5479711143903668,a
"near close, 5% margin|25.0",8676,2026-05-09,3.482821922931492,1.5470223752151462,-3.482821922931492,0.6710333651575642,b
"near close, 5% margin|25.0",8678,2026-05-09,4.982894498299541,1.6709402441636574,3.343224451330839,0.6384815332283807,a
"near close, 5% margin|25.0",8681,2026-05-09,5.0,1.2276197916666645,1.1380989583333223,0.8412180249459604,a
"near close, 5% margin|25.0",8687,2026-05-16,3.5903694184525055,1.5678962818004127,2.038957443029088,0.6638061209415311,b
"near close, 5% margin|25.0",8694,2026-05-16,1.7552346833436316,2.0028748188071077,-1.7552346833436316,0.5168598674164779,a
"near close, 5% margin|25.0",8696,2026-05-16,1.8375671054592337,2.9854640792877247,3.6484234811700267,0.3593975479615854,b
"near close, 5% margin|25.0",8697,2026-05-16,1.317379259598111,2.3893563888947686,1.8303092909200955,0.43384326868789097,a
"near close, 5% margin|25.0",8702,2026-05-30,4.956626151133053,1.2413805652342158,1.1964332220151919,0.8248305903251477,a
"near close, 5% margin|25.0",8706,2026-05-30,1.767029172993439,2.219599954031329,0.0,0.4699501692043976,b
"near close, 5% margin|25.0",8714,2026-06-06,0.9978571810751008,2.4657645371830634,-0.9978571810751008,0.41741717745673496,a
"near close, 5% margin|25.0",8715,2026-06-06,2.146700267285372,1.756124899919908,1.6231735247591916,0.5879214345985708,b
"near close, 5% margin|25.0",8723,2026-06-06,3.706297888014821,1.9738114737057142,3.609235408320089,0.5432052262587361,b
"near close, 5% margin|25.0",8729,2026-06-14,2.3183773166606754,1.962031913437702,2.2303529660176347,0.5324108400918326,b
"near close, 5% margin|25.0",8732,2026-06-20,5.0,1.9252230844548752,4.626115422274376,0.5688411881128093,b
"near close, 5% margin|25.0",8735,2026-06-20,2.5643293340747593,2.3431520493228355,3.444284200201175,0.45617427358712315,b
"near close, 5% margin|25.0",8738,2026-06-20,5.0,1.3622252218472592,1.8111261092362962,0.7677802175729074,a
"near close, 5% margin|25.0",8740,2026-06-20,2.9853983916190114,1.4485385291698631,1.3390662035628664,0.7088394981524524,b
"near close, 5% margin|25.0",8742,2026-06-20,2.901839528671699,2.3741390851558406,-2.901839528671699,0.4547967004355534,b
"near close, 5% margin|25.0",8752,2026-06-27,3.3597901397398324,1.3016408544726181,1.0134499685998002,0.7838329565841534,a
"near close, 5% margin|25.0",8753,2026-06-27,3.6750725888914864,2.574935528039742,5.788002388370195,0.43331572212870684,b
"near close, 5% margin|25.0",8761,2026-07-11,3.966972535895863,1.3774357398873425,1.4972772141986224,0.7477267464892479,a
