page,event,event_url,date,f1,f1_url,f1_open,f1_close_lo,f1_close_hi,f1_spark,f2,f2_url,f2_open,f2_close_lo,f2_close_hi
/fighters/elise-reed-9554,UFC Fight Night 2010,/events/ufc-fight-night-2010-2428,2022-05-21,Elise Reed,/fighters/elise-reed-9554,-150.0,-163.0,-126.0,"1.66667, 1.6343566666667, 1.6014233333333, 1.580013, 1.582154, 1.601749, 1.606971, 1.613221, 1.633406, 1.673853",Sam Hughes,/fighters/sam-hughes-9863,130.0,106.0,132.0
/fighters/elise-reed-9554,UFC Fight Night 205,/events/ufc-fight-night-205-2376,2022-03-19,Elise Reed,/fighters/elise-reed-9554,155.0,225.0,285.0,"2.55, 2.7883333333333, 2.7966666666667, 2.8125, 2.82, 2.826, 2.856, 2.931, 3.0727272727273, 3.45",Cory McKenna,/fighters/cory-mckenna-7840,-180.0,-360.0,-278.0
/fighters/elise-reed-9554,UFC on ESPN: Sandhagen vs. Dillashaw,/events/ufc-on-espn-sandhagen-vs-dillashaw-2137,2021-07-24,Elise Reed,/fighters/elise-reed-9554,190.0,275.0,355.0,"2.9, 2.8875, 2.92, 2.9242857142857, 2.99, 2.99375, 3.10625, 3.3777777777778, 3.665, 4.15",Sijara Eubanks,/fighters/sijara-eubanks-5587,-225.0,-455.0,-390.0
/fighters/elise-reed-9554,CFFC 97: Reed vs. Rose,/events/cffc-97-reed-vs-rose-2153,2021-05-29,Elise Reed,/fighters/elise-reed-9554,,,,,Hilarie Rose,/fighters/hilarie-rose-7874,,,
/fighters/elise-reed-9554,CFFC 91: Sabatini vs. Stirn,/events/cffc-91-sabatini-vs-stirn-2046,2020-12-18,Elise Reed,/fighters/elise-reed-9554,,,,,Jillian Decoursey,/fighters/jillian-decoursey-7429,,,
/fighters/elise-reed-9554,CFFC 83: Jasudavicius vs. Reed,/events/cffc-83-jasudavicius-vs-reed-1961,2020-08-13,Elise Reed,/fighters/elise-reed-9554,,,,,Jasmine Jasudavicius,/fighters/jasmine-jasudavicius-9869,,,
/fighters/elise-reed-9554,Bellator 231: Mir vs. Nelson 2,/events/bellator-231-mir-vs-nelson-2-1798,2019-10-25,Elise Reed,/fighters/elise-reed-9554,,,,,Rebecca Bryggman,/fighters/rebecca-bryggman-9556,,,
/fighters/elves-brener-16626,UFC Fight Night: Albazi vs Taira Odds,/events/ufc-fight-night-albazi-vs-taira-odds-3777,2025-08-02,Elves Brener,/fighters/elves-brener-16626,215.0,190.0,230.0,"3.15, 3.14, 3.09, 3.03, 3.025, 3.0416666666667, 3.05, 3.025, 3.0333333333333, 3.05",Esteban Ribovics,/fighters/esteban-ribovics-14245,-295.0,-280.0,-250.0
/fighters/elves-brener-16626,UFC,/events/ufc-3320,2024-08-03,Elves Brener,/fighters/elves-brener-16626,-110.0,123.0,132.0,"1.90909, 1.954545, 1.9568766666667, 2.1297725, 2.302, 2.494, 2.582, 2.464, 2.412, 2.29",Joel Alvarez,/fighters/joel-alvarez-8910,-120.0,-166.0,-152.0
/fighters/elves-brener-16626,UFC,/events/ufc-3271,2024-05-05,Elves Brener,/fighters/elves-brener-16626,142.0,205.0,225.0,"2.42, 2.375, 2.45, 2.375, 2.81, 2.8757142857143, 2.89, 2.9257142857143, 3.1585714285714, 3.1357142857143",Myktybek Orolbai,/fighters/myktybek-orolbai-16276,-170.0,-278.0,-245.0
